Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
PRIMERA,2022-03-01,SILVA,, PRADO,AREPETTO,HUMERES,,,,
CUARTA,2022-03-03,BLANCO,ACHEVESICH,AMU,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-03-03,MU,AVIVANCO,ARAVANALES,, MATUS,,,,
SEGUNDA,2022-03-03,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-03-03,SILVA,, PRADO,AREPETTO,HUMERES,,,,
TERCERA,2022-03-07,MU,AVIVANCO,ARAVANALES,, MATUS,,,,
SEGUNDA,2022-03-07,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-03-07,PRADO,A,SIMPERTIGUE,HUMERES,FUENTES,feriado,,,
CUARTA,2022-03-08,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,AETCHEBERRY,,,,
TERCERA,2022-03-08,MU,AVIVANCO,ARAVANALES,ALETELIER,,,,,
SEGUNDA,2022-03-08,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-03-08,SILVA,, PRADO,AREPETTO,HUMERES,,,,
CUARTA,2022-03-09,BLANCO,AGAJARDO,SIMPERTIGUE,AGUILA,AETCHEBERRY,,,,
TERCERA,2022-03-09,MU,AVIVANCO,ARAVANALES,ALETELIER,,,,,
SEGUNDA,2022-03-09,BRITO,VALDERRAMA,DAHM,ATAVOLARI,ABUAUAD,,,,
PRIMERA,2022-03-09,SILVA,, PRADO,LLANOS,HUMERES,feriado,,,
TERCERA,2022-03-10,MU,AVIVANCO,SIMPERTIGUE,ABUAUAD,ABENAVIDES,feriado,,,
SEGUNDA,2022-03-10,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-03-10,SILVA,, PRADO,MATUS,ACOPPO,feriado,,,
CUARTA,2022-03-14,BLANCO,AGAJARDO,SIMPERTIGUE,RUZ,AETCHEBERRY,feriado,,,
PRIMERA,2022-03-14,BRITO,, SILVA,PRADO,AREPETTO,,,,
TERCERA,2022-03-14,MU,AVIVANCO,ARAVANALES,MATUS,AGUILA,,,,
SEGUNDA,2022-03-14,VALDERRAMA,DAHM,LLANOS,ALETELIER,ATAVOLARI,,,,
CUARTA,2022-03-15,BLANCO,AGAJARDO,SIMPERTIGUE,MORALES,RUZ,feriado,,,
TERCERA,2022-03-15,MU,AVIVANCO,ARAVANALES,MATUS,ALCALDE,,,,
SEGUNDA,2022-03-15,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-03-15,SILVA,PRADO,AREPETTO,ATAVOLARI,FUENTES,,,,
SEGUNDA,2022-03-16,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-03-16,SILVA,PRADO,SILVA,AREPETTO,ATAVOLARI,,,,
CUARTA,2022-03-18,BLANCO,ACHEVESICH,AGAJARDO,HUMERES,RUZ,subroga,,,
TERCERA,2022-03-18,MU,ARAVANALES,SIMPERTIGUE,MORALES,ATAVOLARI,feriado,,,
SEGUNDA,2022-03-18,BRITO,VALDERRAMA,DAHM,PRADO,ALETELIER,,,,
PRIMERA,2022-03-18,SILVA,SILVA,AREPETTO,LLANOS,ACOPPO,,,,
CUARTA,2022-03-21,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,AETCHEBERRY,,,,
TERCERA,2022-03-21,MU,ARAVANALES,ALETELIER,ATAVOLARI,ACOPPO,feriado,,,
SEGUNDA,2022-03-21,BRITO,VALDERRAMA,LANOS,RUZ,ABUAUAD,,,,
PRIMERA,2022-03-21,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
TERCERA,2022-03-22,MU,AVIVANCO,ARAVANALES,AGUILA,ABENAVIDES,feriado,,,
SEGUNDA,2022-03-22,BRITO,VALDERRAMA,DAHM,LANOS,ALETELIER,,,,
PRIMERA,2022-03-22,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-03-24,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,MORALES,,,,
SEGUNDA,2022-03-24,BRITO,VALDERRAMA,DAHM,LLANOS,ATAVOLARI,,,,
PRIMERA,2022-03-24,SILVA,PRADO,SILVA,AREPETTO,ALETELIER,,,,
TERCERA,2022-03-24,MU,AVIVANCO,ARAVANALES,MATUS,AGUILA,,,,
TERCERA,2022-03-25,MU,AVIVANCO,ARAVANALES,MATUS,ALCALDE,,,,
SEGUNDA,2022-03-25,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-03-25,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-03-28,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,MUNITA,,,,
SEGUNDA,2022-03-28,BRITO,DAHM,LLANOS,ALETELIER,ABUAUAD,,,,
PRIMERA,2022-03-28,VALDERRAMA,PRADO,AREPETTO,ATAVOLARI,FUENTES,,,,
CUARTA,2022-03-29,AMU,AGAJARDO,SIMPERTIGUE,ACOPPO,AETCHEBERRY,permiso,,,
SEGUNDA,2022-03-29,BRITO,DAHM,LLANOS,MUNITA,ATAVOLARI,permiso,,,
PRIMERA,2022-03-29,SILVA,PRADO,AREPETTO,MORALES,RUZ,,,,
CUARTA,2022-03-30,BLANCO,AMU,LLANOS,AGAJARDO,RUZ,subroga,,,
TERCERA,2022-03-30,AVIVANCO,ARAVANALES,MATUS,HUMERES,AGUILA,feriado,,,
SEGUNDA,2022-03-30,BRITO,DAHM,ALETELIER,SIPERTIGUE,ATAVOLARI,,,,
PRIMERA,2022-03-30,SILVA,PRADO,AREPETTO,MUNITA,FUENTES,,,,
CUARTA,2022-04-01,BLANCO,AMU,AGAJARDO,SIMPERTIGUE,AETCHEBERRY,,,,
TERCERA,2022-04-01,MU,AVIVANCO,ARAVANALES,ALETELIER,MATUS,,,,
SEGUNDA,2022-04-01,BRITO,DAHM,LLANOS,MUNITA,ATAVOLARI,,,,
PRIMERA,2022-04-01,SILVA,PRADO,SILVA,AREPETTO,MORALES,,,,
CUARTA,2022-04-05,BLANCO,AMU,MATUS,AGAJARDO,SIMPERTIGUE,,,,
TERCERA,2022-04-05,MU,AVIVANCO,ARAVANALES,CARROZA,AGUILA,,,,
SEGUNDA,2022-04-05,BRITO,VALDERRAMA,DAHM,LLANOS,ALETELIER,,,,
PRIMERA,2022-04-05,SILVA,PRADO,SILVA,AREPETTO,MUNITA,,,,
CUARTA,2022-04-07,ACHEVESICH,MATUS,SIMPERTIGUE,MORALES,RUZ,,,,
